,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
0,Macallan - Distil Your World - The London Edition,https://www.highlandwhiskyauctions.com/lot-130809/macallan-distil-your-world-the-london-edition/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.5%,None,,,,,,,,," £7,500.00",130809
1,Macallan - 30 Years Old - Sherry Oak 2022 Release,https://www.highlandwhiskyauctions.com/lot-130257/macallan-30-years-old-sherry-oak-2022-release/auction-13,Macallan,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,," £4,050.00",,130257
2,Springbank - 21 Year Old - First Bottle Of The 21st Century 2000 (1 of 59),https://www.highlandwhiskyauctions.com/lot-130223/springbank-21-year-old-first-bottle-of-the-21st-century-2000-1-of-59/auction-13,Springbank,21YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,59,Operational,46%,Box wear/marks.,,,,,,,,," £4,000.00",130223
3,Macallan - Royal Marriage - Prince William & Kate Middleton 2011,https://www.highlandwhiskyauctions.com/lot-130571/macallan-royal-marriage-prince-william-kate-middleton-2011/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,1000,Operational,46.8%,Box & label condition.,,,,,,,,," £3,650.00",130571
4,Macallan - 18 Year Old - Gran Reserva 1980,https://www.highlandwhiskyauctions.com/lot-130549/macallan-18-year-old-gran-reserva-1980/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,08/02/2023,,,,,,," £3,600.00",,130549
5,Macallan - Folio 4,https://www.highlandwhiskyauctions.com/lot-130740/macallan-folio-4/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,08/02/2023,,,,,,," £3,250.00",,130740
6,Macallan - 43 Years Old 1965 - Cream Sherry Butt - Carn Mor #2111,https://www.highlandwhiskyauctions.com/lot-130402/macallan-43-years-old-1965-cream-sherry-butt-carn-mor-2111/auction-13,Macallan,43YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,384,Operational,48.4%,Condition of labels.,,2111,,,32,,,," £3,100.00",130402
7,Macallan - Exceptional Single Cask 2002 - 2018/ESH-2340/04,https://www.highlandwhiskyauctions.com/lot-130390/macallan-exceptional-single-cask-2002-2018esh-234004/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,283,Operational,57.8%,Box condition.,,2340-04,,,,,,," £3,000.00",130390
8,Macallan - Robert Burns - 250th Anniversary,https://www.highlandwhiskyauctions.com/lot-130560/macallan-robert-burns-250th-anniversary/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,These decanters were not sealed when bottled by Macallan.,,,,,,,,," £2,900.00",130560
9,Macallan - 18 Years Old - 1976,https://www.highlandwhiskyauctions.com/lot-130684/macallan-18-years-old-1976/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition & minor label lifting.,08/02/2023,,,,,,," £2,600.00",,130684
10,Macallan - 30 Years Old - Double Cask 2022,https://www.highlandwhiskyauctions.com/lot-130316/macallan-30-years-old-double-cask-2022/auction-13,Macallan,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,,,,,,,,," £2,300.00",130316
11,Macallan - 10 Years Old - Cask Strength Early 2000's  (1 Litre) ,https://www.highlandwhiskyauctions.com/lot-130548/macallan-10-years-old-cask-strength-early-2000s-1-litre/auction-13,Macallan,10YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,58.5%,Overall condition.,08/02/2023,,,,,,," £1,950.00",,130548
12,Yamazaki - Mizunara Cask - 2022 Edition,https://www.highlandwhiskyauctions.com/lot-130834/yamazaki-mizunara-cask-2022-edition/auction-13,Yamazaki,,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,48%,Box condition.,08/02/2023,,,,,,," £1,750.00",,130834
13,Glendronach -  The Incorporation of Maltmen - Millennium Malt 1972,https://www.highlandwhiskyauctions.com/lot-130520/glendronach-the-incorporation-of-maltmen-millennium-malt-1972/auction-13,Glendronach,,Scotland,Highland,70cl,SingleMaltWhisky,456,Operational,48%,Labels slightly risen/bubbling.,08/02/2023,721,,,442,,," £1,700.00",,130520
14,Clynelish - 17 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-130545/clynelish-17-years-old-managers-dram/auction-13,Clynelish,17YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,61.8%,Label condition.,08/02/2023,,,,319,,," £1,500.00",,130545
15,Glenfiddich - 34 Years Old - 1978 Rare Collection,https://www.highlandwhiskyauctions.com/lot-130767/glenfiddich-34-years-old-1978-rare-collection/auction-13,Glenfiddich,34YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,180,Operational,47.2%,None,08/02/2023,,,,158,,," £1,475.00",,130767
16,"Macallan - Speymalt 2000, 2001, 2002 & 2003 - 4x 70cl",https://www.highlandwhiskyauctions.com/lot-130672/macallan-speymalt-2000-2001-2002-2003-4x-70cl/auction-13,Macallan,,Scotland,Speyside,280cl,SingleMaltWhisky,,Operational,58.3%,None,08/02/2023,,,,,,," £1,350.00",,130672
17,Bowmore - 30 Years Old 1989 - 2020 Release,https://www.highlandwhiskyauctions.com/lot-130561/bowmore-30-years-old-1989-2020-release/auction-13,Bowmore,30YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,2580,Operational,45.3%,None,,,,,,,,," £1,325.00",130561
18,Macallan - Folio 5,https://www.highlandwhiskyauctions.com/lot-130347/macallan-folio-5/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,,,,,,,,," £1,300.00",130347
19,Macallan - 12 Years Old - Ghillie's Dram With Flies & Print,https://www.highlandwhiskyauctions.com/lot-130558/macallan-12-years-old-ghillies-dram-with-flies-print/auction-13,Macallan,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,800,Operational,40%,Box and tube condition.,08/02/2023,,,,727,,," £1,225.00",,130558
20,Macallan - 12 Years Old - 1 Litre (1980s),https://www.highlandwhiskyauctions.com/lot-130403/macallan-12-years-old-1-litre-1980s/auction-13,Macallan,12YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,43%,General condition.,08/02/2023,,,,,,," £1,200.00",,130403
21,Springbank - 12 Years Old - 100% Proof - Christmas 2002 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-130231/springbank-12-years-old-100-proof-christmas-2002-private-bottling/auction-13,Springbank,12YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,57%,Minor label marks/lifting.Box creases/marks.,,,,,,,,," £1,200.00",130231
22,Glenturret - Jaguar E-Type 60th Anniversary,https://www.highlandwhiskyauctions.com/lot-130398/glenturret-jaguar-e-type-60th-anniversary/auction-13,Glenturret,,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,43.2%,Small scratch on back of box.,,,,,,,,," £1,100.00",130398
23,Ardbeg - 25 Years Old - Lord Of The Isles,https://www.highlandwhiskyauctions.com/lot-130692/ardbeg-25-years-old-lord-of-the-isles/auction-13,Ardbeg,25YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,Box condition & minor label lifting.,08/02/2023,,,,,,," £1,100.00",,130692
